"Vornamen der Bevölkerung nach Geschlecht, Schweiz, 2023",
"Prénoms de la population selon le sexe, Suisse, 2023",
"Nomi della popolazione secondo il sesso, Svizzera, 2023",
"First names of the population by gender, Switzerland, 2023",
,
Vorname / Prénom / Nome / First name Female,Vorname / Prénom / Nome / First name Male
A'isha,Aadam
Aada,Aadan
Aadhini,Aaden
Aadhira,Aadesh
Aadhya,Aadhav
Aadya,Aadhavan
Aafke,Aadhi
Aahana,Aadhiran
Aaila,Aadi
Aaira,Aadil
Aaisha,Aadit
Aakanksha,Aaditya
Aakavi,Aadvik
Aala,Aagash
Aalaa,Aahil
Aalaya,Aakash
Aaleyah,Aake
Aalia,Aakesh
Aalisha,Aamer
Aaliya,Aamir
Aaliyah,Aamon
Aaltje,Aant
Aalya,Aapo
Aalyah,Aaran
Aalysha,Aaranan
Aamina,Aarav
Aaminah,Aaren
Aamira,Aari
Aamna,Aaric
Aanya,Aarin
Aara,Aarish
Aarabi,Aarit
Aaraby,Aariv
Aaradhana,Aariyan
Aaradhya,Aariz
Aarani,Aarjan
Aarany,Aarnav
Aarathana,Aarne
Aarathi,Aarno
Aarathya,Aaro
Aaravi,Aaron
Aaricia,Aarone
Aariya,Aart
Aarna,Aarujan
Aarohi,Aarun
Aarthi,Aaruran
Aarthiga,Aarusan
Aarththy,Aarush
Aarthy,Aarushan
Aarti,Aaruth
Aartje,Aarvalan
Aaruja,Aarwin
Aarusha,Aaryan
Aarushi,Aaryav
Aaruthi,Aarón
Aaruthra,Aashish
Aarvi,Aasim
Aarya,Aathan
Aasa,Aathavan
Aase,Aatheesh
Aasha,Aathi
Aashi,Aathin
Aashika,Aathiran
Aashna,Aathish
Aashvi,Aathishan
Aasiyah,Aathith
Aastha,Aathithan
Aathira,Aathithyan
Aathisha,Aatish
Aathmika,Aatos
Aava,Aayan
Aaya,Aayansh
Aayana,Aayush
Aayat,Aayushman
Aayushi,Aba
Aba,Abaas
Abadit,Abadi
Abarna,Abakar
Abaynesh,Abanob
Abbey,Abanoub
Abbie,Abas
Abbondanza,Abass
Abby,Abay
Abby-Gaëlle,Abaz
Abbygaelle,Abba
Abbygail,Abbas
Abbygale,Abbasali
Abbygaëlle,Abbass
Abeba,Abbes
Abebech,Abbondio
Abeda,Abd
Abeeha,Abd-Elrahman
Abeena,Abdal
Abeer,Abdala
Abegail,Abdalah
Abelina,Abdalkarim
Abeline,Abdalla
Abena,Abdallah
Abenan,Abdalrahman
Abenaya,Abdalrhman
Abenet,Abde
Aber,Abdel
Aberash,Abdel-Aziz
Abetare,Abdel-Hakim
Abha,Abdel-Illah
Abhilasha,Abdel-Karim
Abi,Abdela
Abia,Abdelaali
Abiba,Abdelaaziz
Abibatou,Abdeladim
Abibe,Abdelali
Abida,Abdelalim
Abide,Abdelatif
Abier,Abdelaziz
Abigael,Abdelaâziz
Abigaelle,Abdelbaki
Abigail,Abdelbaset
Abigaile,Abdelbasset
Abigale,Abdeldjalil
Abigayl,Abdelfatah
Abigayle,Abdelfattah
Abigaël,Abdelfettah
Abigaëlle,Abdelghafour
Abigaïl,Abdelghani
Abigel,Abdelhadi
Abigiya,Abdelhafid
Abigél,Abdelhafidh
Abiha,Abdelhafiz
Abija,Abdelhak
Abijah,Abdelhakim
Abina,Abdelhalim
Abinaja,Abdelhamid
Abinaya,Abdelhaq
Abiola,Abdelhay
Abir,Abdelhedi
Abira,Abdelilah
Abiraa,Abdelillah
Abiraami,Abdeljabbar
Abirami,Abdeljalil
Abiramy,Abdeljelil
Abire,Abdelkader
Abisa,Abdelkadir
Abisana,Abdelkarim
Abisha,Abdelkebir
Abishaa,Abdelkerim
Abishana,Abdelkhalak
Abisheka,Abdelkhalek
Abishika,Abdelkrim
Abisola,Abdella
Abital,Abdellah
Abitha,Abdellahi
Abla,Abdellatif
Ablavi,Abdellaziz
Ablewa,Abdelmadjid
Abnore,Abdelmajid
Abra,Abdelmalek
Abraar,Abdelmalik
Abrar,Abdelmjid
Abrehet,Abdelmonem
Abrhet,Abdelmoughit
Abril,Abdelmoula
Abrish,Abdelmoumen
Absa,Abdelmounaim
Absara,Abdelnacer
Absera,Abdelnaser
Abshira,Abdelnour
Abshiro,Abdelouahab
Aby,Abdelouahad
Abyan,Abdelouaheb
Abygael,Abdelouahed
Abygaelle,Abdelrahim
Abygail,Abdelrahman
Abygaël,Abdelrahmen
Abygaëlle,Abdelrazak
Acacia,Abdelrhani
Accursia,Abdelsalam
Acelya,Abdeltif
Achamma,Abdelwahab
Achara,Abdelwahad
Achouak,Abdelwaheb
Achta,Abdelwahed
Achwak,Abdelâli
Acsa,Abdelâziz
Acyl,Abdenbi
Ada,Abdennacer
Ada-Maria,Abdennaceur
Adaeze,Abdennour
Adah,Abdenor
Adaja,Abdenour
Adalberta,Abderahim
Adalena,Abderahman
Adalet,Abderahmane
Adaleta,Abderaouf
Adalgisa,Abderazak
Adalia,Abderazek
Adalie,Abderezak
Adalina,Abderrahim
Adaline,Abderrahman
Adalyn,Abderrahmane
Adama,Abderrahmen
Adamandia,Abderraouf
Adamantia,Abderrazak
Adamma,Abderrazek
Adan,Abderrazzak
Adana,Abderrezak
Adanech,Abdeslam
Adanna,Abdeslem
Adaobi,Abdessadek
Adaora,Abdessalam
Adar,Abdessalem
Adara,Abdessamad
Adaya,Abdessamed
